codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
04511004,DGA,dga_web,Cerro Vega Negra,3600,-30.9033,-70.5158,45,Rio Limari,451,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1999-05-01,2016-04-01,149
04535001,DGA,dga_web,Cogoti Embalse,740,-31.0078,-71.0856,45,Rio Limari,453,R. Guatulame (Muro Embalse Paloma),1965-02-01,1993-12-01,341
04511003,DGA,dga_web,Las Ramadas,1380,-31.0181,-70.5858,45,Rio Limari,451,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),1969-12-01,1993-12-01,248
04531002,DGA,dga_web,Rio Cogoti Entrada Embalse Cogoti,670,-31.0325,-71.0403,45,Rio Limari,453,Rio Huatulame (Muro Embalse Paloma),2014-11-01,2016-04-01,16
04530001,DGA,dga_web,Rio Cogoti En Fraguita,1065,-31.1119,-70.885,45,Rio Limari,453,R. Guatulame (Muro Embalse Paloma),2014-11-01,2016-04-01,13
04722001,DGA,dga_web,Santa Virginia,980,-31.5503,-70.8353,47,Rio Choapa,472,Rio Illapel,1979-03-01,1989-03-01,102
04726003,DGA,dga_web,Illapel Dga,290,-31.645,-71.1908,47,Rio Choapa,472,Rio Illapel,1975-08-01,1993-12-01,205
04710001,DGA,dga_web,La Tranquilla,1000,-31.9,-70.6706,47,Rio Choapa,471,Rio Choapa Medio (Entre Rios Cuncumen E Illapel),1966-01-01,1993-12-01,284
04810003,DGA,dga_web,Caimanes,450,-31.9322,-71.1361,48,Costeras Entre R.Choapa Y R.Quilimari,481,Estero Pupio,1989-09-01,1993-10-01,41
04700002,DGA,dga_web,El Soldado,3290,-32.0067,-70.3214,47,Rio Choapa,470,Rio Choapa Alto (Hasta Abajo Junta Rio Cuncumen),2001-02-01,2016-04-01,97
04902002,DGA,dga_web,Los Condores,190,-32.1086,-71.3125,49,Rio Quilimari,490,Rio Quilimari Hasta Muro Embalse Culimo,1977-08-01,1993-12-01,167
05200006,DGA,dga_web,Alicahue,750,-32.3408,-70.7528,52,Rio Ligua,520,Rio Ligua Alto (Estero Alicahue),1968-03-01,1993-12-01,263
05401007,DGA,dga_web,Portillo,3000,-32.8444,-70.1108,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),2004-06-01,2016-04-01,94
05410002,DGA,dga_web,Rio Aconcagua En Chacabuquito,950,-32.8503,-70.5094,54,Rio Aconcagua,541,Aconcagua Medio,2000-07-01,2016-04-01,141
05410006,DGA,dga_web,Vilcuya,1100,-32.8603,-70.4719,54,Rio Aconcagua,541,Aconcagua Medio,1972-02-01,1993-12-01,229
05426004,DGA,dga_web,Quillota,130,-32.8958,-71.2092,54,Rio Aconcagua,542,Aconcagua Bajo,1978-01-01,1993-11-01,173
05733008,DGA,dga_web,Rungue Embalse,700,-33.0194,-70.9081,57,Rio Maipo,573,Rio Mapocho Bajo,1977-08-01,1993-12-01,184
05427006,DGA,dga_web,Lliu-Lliu Embalse,260,-33.0986,-71.2144,54,Rio Aconcagua,542,Aconcagua Bajo,1979-04-01,1993-11-01,152
05510002,DGA,dga_web,Lago Peuelas,360,-33.145,-71.5553,55,Costeras Entre Aconcagua Y Maipo,551,Lago Penuelas,1974-04-01,1993-12-01,200
05722002,DGA,dga_web,Rio Mapocho En Los Almendros,966,-33.3703,-70.4508,57,Rio Maipo,572,Rio Mapocho Alto,1999-09-01,2016-04-01,148
05730012,DGA,dga_web,Cerro Calan,848,-33.395,-70.5367,57,Rio Maipo,573,Rio Mapocho Bajo,1978-01-01,2016-04-01,251
05744002,DGA,dga_web,Los Panguiles,190,-33.4386,-71.0256,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1980-11-01,1993-12-01,146
05730015,DGA,dga_web,Campus San Joaquin U.C.,570,-33.4975,-70.6142,57,Rio Maipo,573,Rio Mapocho Bajo,1978-01-01,1981-09-01,32
05730039,DGA,dga_web,Quebrada De Macul,950,-33.5017,-70.5144,57,Rio Maipo,573,Rio Mapocho Bajo,2003-05-01,2016-04-01,82
05703011,DGA,dga_web,Glaciar Echaurren,3850,-33.5722,-70.1283,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1999-08-01,2002-05-01,28
05703009,DGA,dga_web,Laguna Negra,2780,-33.6658,-70.1078,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),2003-03-01,2016-04-01,102
05711003,DGA,dga_web,Pirque,659,-33.6736,-70.5869,57,Rio Maipo,571,Rio Maipo Medio,1978-01-01,1993-12-01,135
05703008,DGA,dga_web,El Yeso Embalse,2475,-33.6767,-70.0886,57,Rio Maipo,570,Rio Maipo Alto,1977-08-01,1993-12-01,178
05740005,DGA,dga_web,Melipilla,168,-33.6803,-71.1997,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1971-06-01,1993-12-01,193
05701008,DGA,dga_web,Queltehues,1450,-33.8164,-70.2172,57,Rio Maipo,570,Rio Maipo Alto,1978-02-01,1978-12-01,11
05701005,DGA,dga_web,Las Melosas,1527,-33.8994,-70.1981,57,Rio Maipo,570,Rio Maipo Alto,1978-01-01,1984-04-01,76
06015003,DGA,dga_web,Rengo,310,-34.4217,-70.8667,60,Rio Rapel,601,Cachapoal Bajo,1970-03-01,1993-12-01,273
06013005,DGA,dga_web,Popeta,480,-34.4369,-70.7794,60,Rio Rapel,601,Cachapoal Bajo,1970-03-01,1975-05-01,62
07120002,DGA,dga_web,Laguna De Torca,28,-34.7675,-72.065,71,Rio Mataquito,712,Rio Mataquito,2014-06-01,2016-04-01,22
06034003,DGA,dga_web,Convento Viejo,239,-34.7694,-71.1331,60,Rio Rapel,603,Tinguiririca Bajo,1971-09-01,1993-12-01,249
06020001,DGA,dga_web,Termas Del Flaco,2650,-34.8911,-70.3297,60,Rio Rapel,602,Rio Tinguiririca Alto (Hasta Bajo Junta Rio Claro),1999-08-01,2005-03-01,38
07118003,DGA,dga_web,Curico,195,-34.9811,-71.2361,71,Rio Mataquito,711,Rio Lontue,2014-11-01,2016-04-01,14
07116005,DGA,dga_web,Potrero Grande,445,-35.1833,-71.0978,71,Rio Mataquito,711,Rio Lontue,1967-05-01,2016-04-01,227
07384002,DGA,dga_web,Constitucion,10,-35.3242,-72.4089,73,Rio Maule,738,Rio Maule Bajo,2014-01-01,2016-04-01,25
07381003,DGA,dga_web,Pencahue,55,-35.3725,-71.8325,73,Rio Maule,738,Rio Maule Bajo,1986-08-01,2016-04-01,80
