codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
05423002,DGA,dga_web,Estero Las Vegas Aguas Abajo Canal Las Vegas,0,-32.8333,-71.0167,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1972-07-01,1984-04-01,52
05423004,DGA,dga_web,Estero Romeral Antes Junta Rio Aconcagua,544,-32.8333,-71.0833,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1962-08-01,1984-06-01,179
05404001,DGA,dga_web,Canal Colorado En Bocatoma,1391,-32.8347,-70.3533,54,Rio Aconcagua,540,Aconcagua Alto,2014-04-01,2016-04-01,24
05422001,DGA,dga_web,Estero Las Vegas En Desembocadura,0,-32.8347,-70.9983,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1962-07-01,2002-05-01,428
05423001,DGA,dga_web,Canal Las Vegas En Bocatoma,320,-32.8369,-71.0042,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1962-09-01,2015-10-01,506
05423003,DGA,dga_web,Rio Aconcagua En Romeral,365,-32.8403,-71.0256,54,Rio Aconcagua,542,Aconcagua Bajo,1959-07-01,2016-04-01,352
05423005,DGA,dga_web,Rio Aconcagua En Panamericana,210,-32.8439,-71.1164,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1962-07-01,1990-10-01,88
05410001,DGA,dga_web,Rio Aconcagua En Vizcachas,930,-32.85,-70.5,54,Rio Aconcagua,541,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco),1930-08-01,1936-05-01,61
05423011,DGA,dga_web,Canal Puntilla Torrejon En Bocatoma,210,-32.85,-71.1167,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1991-07-01,1992-01-01,7
05423010,DGA,dga_web,Canal Comunidad Purutun En Bocatoma,210,-32.85,-71.1167,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1991-07-01,1992-01-01,7
05423009,DGA,dga_web,Canal Comunidad Hijuela En Bocatoma,210,-32.85,-71.1167,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1991-07-01,1992-01-01,7
05423008,DGA,dga_web,Canal Melon En Bocatoma,210,-32.85,-71.1167,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1991-10-01,1992-01-01,4
05410002,DGA,dga_web,Rio Aconcagua En Chacabuquito,950,-32.8503,-70.5094,54,Rio Aconcagua,541,Aconcagua Medio,1936-09-01,2016-04-01,874
05406002,DGA,dga_web,Rio Colorado Antes Junta Rio Aconcagua,0,-32.8556,-70.4092,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),1930-01-01,1944-04-01,91
05406001,DGA,dga_web,Rio Colorado En Colorado,1062,-32.8572,-70.4122,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),1964-11-01,2015-12-01,519
05401003,DGA,dga_web,Rio Juncal En Juncal,1800,-32.8625,-70.1675,54,Rio Aconcagua,540,Aconcagua Alto,1930-01-01,2016-04-01,524
05403003,DGA,dga_web,Rio Aconcagua En Los Quilos,1062,-32.8667,-70.4167,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),1965-02-01,1981-03-01,167
05423006,DGA,dga_web,Estero Rabuco En Fundo Rabuco,300,-32.8667,-71.1333,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1969-01-01,1983-08-01,166
05426001,DGA,dga_web,Rio Aconcagua En Puente Boco (Ca),120,-32.8667,-71.25,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1962-08-01,1966-06-01,36
05401002,DGA,dga_web,Rio Juncal Ante Junta Rio Blanco,0,-32.9044,-70.2939,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),1930-01-01,1930-12-01,12
05403002,DGA,dga_web,Rio Aconcagua En Rio Blanco,1420,-32.9067,-70.3036,54,Rio Aconcagua,540,Aconcagua Alto,1970-04-01,2016-04-01,495
05402001,DGA,dga_web,Rio Blanco En Rio Blanco,1420,-32.9072,-70.2978,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),1930-01-01,2016-04-01,535
05411001,DGA,dga_web,Estero Pocuro En El Sifon,1000,-32.9164,-70.5403,54,Rio Aconcagua,541,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco),1931-01-01,2015-12-01,868
05402002,DGA,dga_web,Canal Chacabuco En Bocatoma,0,-32.9167,-70.3333,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),1984-06-01,1985-12-01,14
05427003,DGA,dga_web,Estero De Limache Antes Junta Rio Aconcagua,120,-32.9242,-71.4439,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1970-12-01,1983-06-01,125
05426002,DGA,dga_web,Rio Aconcagua En Tabolango,60,-32.9333,-71.3667,54,Rio Aconcagua,542,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb),1963-03-01,1970-03-01,60
05402015,DGA,dga_web,Rio Blanco Antes Junta Rio De Los Leones,0,-32.98,-70.2547,54,Rio Aconcagua,540,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),2014-12-01,2016-04-01,14
05741001,DGA,dga_web,Estero Puangue En Boqueron,488,-33.1669,-71.1306,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1930-01-01,2015-12-01,709
05735001,DGA,dga_web,Canal Colina En Peldehue,860,-33.1967,-70.5808,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1980-12-01,2015-07-01,386
05734001,DGA,dga_web,Estero Polpaico En Chicauma,500,-33.1983,-70.8956,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1943-05-01,2006-09-01,605
05735004,DGA,dga_web,Canal Colina En Seccion Las Huacas,0,-33.2,-70.75,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1930-07-01,1934-01-01,20
05735003,DGA,dga_web,Rio Colina Seccion Las Huacas,0,-33.2167,-70.7667,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1930-06-01,1939-12-01,78
05721016,DGA,dga_web,Rio San Francisco Antes Junta Estero Yerba Loca,1550,-33.3086,-70.3572,57,Rio Maipo,572,Rio Mapocho Alto,2009-08-01,2016-04-01,68
05722001,DGA,dga_web,Estero Arrayan En La Montosa,880,-33.3256,-70.4561,57,Rio Maipo,572,Rio Mapocho Alto,1952-10-01,2016-04-01,631
05721001,DGA,dga_web,Estero Yerba Loca Antes Junta San Francisco,1350,-33.3414,-70.3636,57,Rio Maipo,572,Rio Mapocho Alto,1986-11-01,2016-04-01,353
05722006,DGA,dga_web,Estero Arrayan En Desembocadura (Ca),870,-33.3583,-70.4828,57,Rio Maipo,572,Rio Mapocho Alto (Hasta Bajo Junta E De Las Rosas),1942-11-01,1945-12-01,25
05722004,DGA,dga_web,Rio Mapocho En Puente Nilhue,0,-33.3667,-70.45,57,Rio Maipo,572,Rio Mapocho Alto (Hasta Bajo Junta E De Las Rosas),1930-01-01,1940-07-01,127
05722003,DGA,dga_web,Rio Mapocho En Las Condes,0,-33.3667,-70.45,57,Rio Maipo,572,Rio Mapocho Alto (Hasta Bajo Junta E De Las Rosas),1943-02-01,1948-07-01,66
05722002,DGA,dga_web,Rio Mapocho En Los Almendros,966,-33.3703,-70.4508,57,Rio Maipo,572,Rio Mapocho Alto,1948-08-01,2016-04-01,733
05720001,DGA,dga_web,Rio Molina Antes Junta San Francisco,1158,-33.3733,-70.3961,57,Rio Maipo,572,Rio Mapocho Alto,1987-02-01,2016-04-01,84
05730003,DGA,dga_web,Canal San Carlos En Desembocadura Rio Mapocho,580,-33.4125,-70.6047,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1961-07-01,1982-01-01,132
05730002,DGA,dga_web,Canal San Carlos En Principe De Gales,579,-33.4167,-70.5833,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1979-06-01,1981-09-01,28
05730008,DGA,dga_web,Quebrada Ramon En Recinto Emos,845,-33.4331,-70.5142,57,Rio Maipo,573,Rio Mapocho Bajo,1991-02-01,2015-06-01,273
05730011,DGA,dga_web,Rio Mapocho En Pte Pudahuel,450,-33.4333,-70.8167,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1930-01-01,1931-08-01,20
05730004,DGA,dga_web,Zanjon De La Aguada En Santa Rosa,0,-33.4764,-70.6347,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1930-01-01,1939-04-01,111
05730005,DGA,dga_web,Zanjon De La Aguada Puente Particular,450,-33.4783,-70.7172,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1971-12-01,1987-12-01,179
05730006,DGA,dga_web,Zanjon De La Aguada En Pajaritos,430,-33.4792,-70.7261,57,Rio Maipo,573,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo),1968-07-01,1969-07-01,6
05706001,DGA,dga_web,Rio Olivares Antes Junta Rio Colorado,1500,-33.4878,-70.1367,57,Rio Maipo,570,Rio Maipo Alto,1977-02-01,2015-10-01,428
05705001,DGA,dga_web,Rio Colorado Antes Junta Rio Olivares,1500,-33.49,-70.1342,57,Rio Maipo,570,Rio Maipo Alto,1977-04-01,2015-09-01,370
05737002,DGA,dga_web,Rio Mapocho Rinconada De Maipu,440,-33.4961,-70.8167,57,Rio Maipo,573,Rio Mapocho Bajo,1959-10-01,2016-04-01,645
05707001,DGA,dga_web,Rio Colorado En Maitenes,0,-33.5264,-70.2664,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1930-01-01,1936-07-01,79
05530001,DGA,dga_web,Estero Cartagena Despues Junta Zarate,24,-33.5283,-71.5269,55,Costeras Aconcagua-Maipo,553,Costeras Entre E Del Rosario (Incl) Y Rio Maipo,1936-05-01,1939-01-01,33
05710002,DGA,dga_web,Rio Maipo En El Canelo,0,-33.5747,-70.4397,57,Rio Maipo,571,Rio Maipo Medio (Despues Colorado Antes Mapocho),1930-01-01,1931-08-01,20
05703006,DGA,dga_web,Estero Glaciar Echaurren,3000,-33.5847,-70.1161,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1976-02-01,2004-03-01,114
05707002,DGA,dga_web,Rio Colorado Antes Junta Rio Maipo,890,-33.5875,-70.3669,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1940-08-01,2016-04-01,811
05710001,DGA,dga_web,Rio Maipo En El Manzano,850,-33.5939,-70.3792,57,Rio Maipo,571,Rio Maipo Medio,1946-11-01,2016-04-01,777
05703001,DGA,dga_web,Rio Yeso En Piuquenes,2550,-33.6258,-69.9225,57,Rio Maipo,570,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1969-06-01,1971-12-01,18
05746001,DGA,dga_web,Estero Puangue En Ruta 78,93,-33.6614,-71.3372,57,Rio Maipo,574,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1986-11-01,2016-04-01,345
