codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
01201005,DGA,dga_web,Rio Caracarani En Humapalca,3908,-17.8428,-69.6994,12,Rio Lluta,120,Rio Lluta Alto,2013-08-01,2014-02-01,7
01001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10,Altiplanicas,100,Entre Limite Peru-Bolivia Y Rio Lauca,1976-10-01,2012-10-01,310
01202009,DGA,dga_web,Pacollo,4185,-18.1769,-69.5092,12,Rio Lluta,120,Rio Lluta Alto,1978-11-01,1999-05-01,236
01202012,DGA,dga_web,Putre (Dcp),3560,-18.195,-69.5589,12,Rio Lluta,120,Rio Lluta Alto,2002-02-01,2014-03-01,54
01202010,DGA,dga_web,Putre,3545,-18.1992,-69.5603,12,Rio Lluta,120,Rio Lluta Alto,1976-02-01,2009-10-01,380
01020017,DGA,dga_web,Parinacota Ex Endesa,4420,-18.2042,-69.2683,10,Altiplanicas,102,Rio Lauca,1986-07-01,2014-09-01,228
01020018,DGA,dga_web,Chucuyo (Ex. Endesa),4400,-18.2181,-69.3214,10,Altiplanicas,102,Rio Lauca,1985-01-01,1990-01-01,34
01010010,DGA,dga_web,Chungara Ajata,4585,-18.2353,-69.1833,10,Altiplanicas,101,Lago Chungara,1986-01-01,2016-04-01,337
01300004,DGA,dga_web,Murmuntane,3550,-18.3519,-69.5519,13,Rio San Jose,130,Azapa Alto,1970-06-01,1987-12-01,107
01211006,DGA,dga_web,Lluta,290,-18.4103,-70.1692,12,Rio Lluta,121,Rio Lluta Bajo,1969-01-01,1993-12-01,164
01310018,DGA,dga_web,Arica Oficina,20,-18.4775,-70.3208,13,Rio San Jose,131,Rio San Jose,1975-01-01,1988-09-01,47
01310021,DGA,dga_web,U. Del Norte,55,-18.4833,-70.2936,13,Rio San Jose,131,Rio San Jose,1975-06-01,1985-06-01,99
01021007,DGA,dga_web,Guallatire,4240,-18.4983,-69.1547,10,Altiplanicas,102,Rio Lauca,1969-02-01,1971-08-01,18
01310022,DGA,dga_web,El Buitre Aerodromo,110,-18.5119,-70.2842,13,Rio San Jose,131,Rio San Jose,1985-09-01,2012-03-01,318
01310019,DGA,dga_web,Azapa,365,-18.5156,-70.1806,13,Rio San Jose,131,Rio San Jose,1968-12-01,2015-12-01,516
01310020,DGA,dga_web,La Rivera,310,-18.5283,-70.1642,13,Rio San Jose,131,Rio San Jose,1970-08-01,1973-11-01,33
01030003,DGA,dga_web,Chilcaya,4270,-18.7939,-69.0844,10,Altiplanicas,103,Salar De Surire,1971-12-01,2014-01-01,224
01410011,DGA,dga_web,Chaca,350,-18.8169,-70.15,14,Costeras R. San Jose-Q.Camarones,141,Quebrada Vitor,1969-01-01,1979-11-01,113
01410012,DGA,dga_web,Codpa,1870,-18.8322,-69.7439,14,Costeras R. San Jose-Q.Camarones,141,Quebrada Vitor,1969-01-01,2015-12-01,533
01502006,DGA,dga_web,Cuya,200,-19.1117,-70.1269,15,Q. Rio Camarones,150,Rio Camarones Antes Junta Quebrada De Chiza,1965-11-01,1979-03-01,80
01041003,DGA,dga_web,Colchane (T. Isluga),3700,-19.2764,-68.6378,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,2012-02-01,2016-04-01,45
01730018,DGA,dga_web,Lagunillas (Pampa Lirima),4020,-19.9333,-68.8369,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1982-10-01,2015-09-01,359
01050007,DGA,dga_web,Coyacagua,4013,-20.0531,-68.8075,10,Altiplanicas,105,Salar Del Huasco,1961-12-01,2013-09-01,508
01740002,DGA,dga_web,Cerro Colorado,2510,-20.065,-69.2703,17,Pampa Del Tamarugal,174,Quebrada De Quipisca,1993-05-01,2015-08-01,230
01700010,DGA,dga_web,Huara En Fuerte Baquedano,1100,-20.1308,-69.7497,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,1993-03-01,2013-06-01,194
01051003,DGA,dga_web,Salar Huasco,3800,-20.2761,-68.8861,10,Altiplanicas,105,Salar Del Huasco,1981-08-01,1982-06-01,10
01700008,DGA,dga_web,Esmeralda,1115,-20.4842,-69.3814,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,1966-09-01,1973-10-01,25
01700009,DGA,dga_web,Coposa,3760,-20.7086,-68.6942,17,Pampa Del Tamarugal,170,Pampa Del Tamarugal,2015-07-01,2015-09-01,3
02113005,DGA,dga_web,Guatacondo Dga,2460,-20.9272,-69.0456,21,Rio Loa,211,Loa Medio (Entre R.  Salado Y Q. De Barrera),1978-01-01,1990-11-01,115
01080001,DGA,dga_web,Ujina,4300,-20.9714,-68.6275,10,Altiplanicas,108,Salar De Michincha,1973-12-01,2015-09-01,88
02000001,DGA,dga_web,Ollague,3700,-21.2233,-68.2494,20,Fronterizas Salar Michincha-R.Loa,200,Salar De Ollague,1974-01-01,2014-06-01,199
02020001,DGA,dga_web,Cebollar,3730,-21.5311,-68.3386,20,Fronterizas Salar Michincha-R.Loa,202,Salar De Ascotan,1970-01-01,1988-08-01,145
02101003,DGA,dga_web,Lequena,3320,-21.6553,-68.6611,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1984-04-01,2013-04-01,212
02112008,DGA,dga_web,Quillagua,802,-21.6603,-69.5358,21,Rio Loa,211,Loa Medio (Entre R.  Salado Y Q. De Barrera),1969-06-01,1979-06-01,69
02020002,DGA,dga_web,Ascotan,3970,-21.7253,-68.2756,20,Fronterizas Salar Michincha-R.Loa,202,Salar De Ascotan,1974-08-01,1983-02-01,78
02103008,DGA,dga_web,Parshall N 2,3318,-21.9428,-68.5175,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1969-02-01,2012-07-01,492
02103009,DGA,dga_web,Ojos San Pedro,3800,-21.9706,-68.3128,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1969-04-01,1989-12-01,110
02104008,DGA,dga_web,Conchi Embalse,3010,-22.025,-68.6242,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1967-10-01,2015-10-01,462
02104009,DGA,dga_web,Conchi Muro Embalse,3000,-22.0267,-68.6208,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1980-12-01,1991-12-01,125
02103010,DGA,dga_web,Inacaliri,4040,-22.0278,-68.0661,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1969-01-01,1992-09-01,227
02105016,DGA,dga_web,Linzor,4100,-22.2297,-68.0228,21,Rio Loa,210,Rio Loa Alto (Bajo Junta Rio Salado),1973-12-01,2015-11-01,408
