codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
410002,DMC,dmc_anuarios,Frutillar Centro Forestal,150,-41.1406,-73.0386,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1979-01-01,2012-07-01,378
410001,DMC,dmc_anuarios,Punta Huano,217,-41.1453,-72.2883,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1979-01-01,2008-03-01,350
410003,DMC,dmc_anuarios,La Ensenada,59,-41.2072,-72.5386,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1980-01-01,2002-08-01,265
410004,DMC,dmc_anuarios,Puerto Varas,79,-41.3206,-72.9894,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1980-01-01,1991-12-01,129
410924,DMC,dmc_anuarios,Ancud Pudeto,30,-41.8833,-73.8,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1984-01-01,2001-02-01,117
420011,DMC,dmc_anuarios,Segundo Corral Ad.,249,-42.0747,-71.8647,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1984-01-01,2002-04-01,155
420010,DMC,dmc_anuarios,Achao Subcomisaria,38,-42.4717,-73.4925,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1980-01-01,2013-12-01,342
420001,DMC,dmc_anuarios,Castro Ad.,41,-42.4883,-73.7744,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1984-01-01,1987-12-01,48
430001,DMC,dmc_anuarios,Quellon Ad.,12,-43.1339,-73.6331,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1984-01-01,2003-12-01,202
440001,DMC,dmc_anuarios,Puerto Puyuhuapi,6,-44.3258,-72.5622,111,Costeras E Islas Entre R.Palena Y R.Aisen,1112,Costeras Entre Rio Marchant Y Seno Ventisquero,1980-01-01,2012-12-01,362
450009,DMC,dmc_anuarios,Puerto Aguirre,14,-45.1642,-73.5233,111,Costeras E Islas Entre R.Palena Y R.Aisen,1118,Islas Al Este Canal Moraleda,1985-01-01,1985-12-01,12
450002,DMC,dmc_anuarios,Coyhaique Escuela Agricola,356,-45.5789,-72.0489,113,Rio Aisen,1131,Rio Simpson,1980-01-01,2002-12-01,269
460006,DMC,dmc_anuarios,Laguna San Rafael,6,-46.6358,-73.8525,114,Costeras E Islas Entre R Aisen Y R Baker Y Canal Gral. Martinez,1144,Costera Y Ventisqueros Entre R.  Exploradores Y Vent. Benito,1985-01-01,1985-12-01,12
480002,DMC,dmc_anuarios,Villa O'Higgins Subcomisaria,280,-48.4714,-72.5603,117,Rio Pascua,1170,Lago O'Higgins,1998-01-01,2005-05-01,87
510004,DMC,dmc_anuarios,Puerto Natales Armada,7,-51.7242,-72.5106,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1229,Costeras Entre Rio Serrano Y Rio Hollenberg,2001-01-01,2001-12-01,12
510006,DMC,dmc_anuarios,Monsenor Fagnano Puerto Natales,15,-51.7369,-72.4942,122,Costeras Entre Seno Andrew Y R. Hollemberg E Islas Al Oriente,1258,Costeras E Islas Orientales De La Peninsula Brunswick,1995-01-01,1995-12-01,12
530003,DMC,dmc_anuarios,Morro Chico Reten,171,-52.0553,-71.4281,126,Vertiente Del Atlantico,1262,Rio Penitente,1980-01-01,1993-12-01,165
520003,DMC,dmc_anuarios,Evangelistas Faro,52,-52.3869,-75.0967,123,Islas Entre Canales Concepcion Sarmiento Y E. De Magallanes,1235,Islas Entre Paso Uribe Canal Bertran Y Canal Nogueira,1980-01-01,1985-12-01,69
520004,DMC,dmc_anuarios,Punta Delgadafaro,6,-52.4558,-69.5456,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1253,Costeras Entre R. Santa Susana Y Chorrillo Kimiri Aike,1980-01-01,1989-12-01,108
520013,DMC,dmc_anuarios,Rio Verde Escuela G-33,11,-52.6014,-71.5053,124,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1245,Costeras Continentales Del Seno Skyring,1985-01-01,1987-09-01,33
520012,DMC,dmc_anuarios,Instituto De La Patagonia (Jorge Schytte),11,-53.13,-70.8875,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,1985-01-01,2011-10-01,164
530004,DMC,dmc_anuarios,Monsenor Fagnano Punta Arenas,21,-53.1597,-70.9103,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1229,Costeras Entre Rio Serrano Y Rio Hollenberg,1984-01-01,2005-12-01,114
530006,DMC,dmc_anuarios,Rio Las Minas,375,-53.16,-71.0225,125,Costeras Entre Lag.  Blanca(Inc) Seno Otway Canal Jeronimo Y Magallanes,1258,Costeras E Islas Orientales De La Peninsula Brunswick,1992-01-01,1992-12-01,12
560002,DMC,dmc_anuarios,Diego Ramirez,42,-56.5064,-68.7292,129,Islas Al Sur Del Canal Beagle Y Territorio Antartico,1296,Islas Diego Ramirez,1985-01-01,1985-12-01,12
950002,DMC,dmc_anuarios,Arturo Prat Base Antartica,5,-62.4786,-59.6642,-1,No Disponible,-1,No Disponible,1985-01-01,1985-12-01,12
950003,DMC,dmc_anuarios,Bernardo O'Higgins Base Antartica,10,-63.3208,-57.8994,-1,No Disponible,-1,No Disponible,1985-01-01,1985-12-01,12
180005,DMC,dmc_merge,Chacalluta Arica Ap.,63,-18.3514,-70.3358,10,Altiplanicas,100,Entre Limite Peru - Bolivia Y Rio Lauca,1950-01-01,2016-04-01,793
200006,DMC,dmc_merge,Diego Aracena Iquique Ap.,52,-20.5397,-70.1786,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1950-01-01,2016-04-01,788
230001,DMC,dmc_merge,Cerro Moreno Antofagasta Ap.,113,-23.4503,-70.4411,20,Fronterizas Salar Michincha-R.Loa,200,Salar De Ollague,1950-01-01,2016-04-01,793
270008,DMC,dmc_merge,Desierto De Atacama Caldera Ap.,204,-27.2639,-70.7742,30,Endorreicas Entre Frontera Y Vertiente Del Pacifico,304,Salar De Maricunga,1951-01-01,2016-04-01,773
290004,DMC,dmc_merge,La Florida La Serena Ad.,142,-29.9175,-71.2011,41,Rio Los Choros,412,Q. Los Choros Entre Q. Del Pelicano Y Desembocadura,1950-01-01,2016-04-01,767
330020,DMC,dmc_merge,Quinta Normal Santiago,527,-33.445,-70.6828,57,Rio Maipo,573,Mapocho Bajo,1950-01-01,2016-04-01,796
340031,DMC,dmc_merge,General Freire Curico Ad.,225,-34.9664,-71.2167,61,Costeras Rapel-E.Nilahue,613,Estero Nilahue,1950-01-01,2016-04-01,738
360011,DMC,dmc_merge,Bernardo O'Higgins Chillan Ad.,151,-36.5872,-72.04,81,Rio Itata,810,Nuble Alto,1950-01-01,2016-04-01,716
360019,DMC,dmc_merge,Carriel Sur Concepcion.,12,-36.7792,-73.0622,81,Rio Itata,810,Nuble Alto,1950-01-01,2016-04-01,796
380013,DMC,dmc_merge,Maquehue Temuco Ad.,92,-38.77,-72.6369,83,Rio Bio Bio,830,Rio Bio-Bio Alto (Hasta Despues Junta Rio Lamin),1950-01-01,2016-04-01,724
390006,DMC,dmc_merge,Pichoy Valdivia Ad.,21,-39.6506,-73.0808,101,Rio Valdivia,1010,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),1950-01-01,2016-04-01,767
400009,DMC,dmc_merge,Canal Bajo Osorno Ad.,61,-40.605,-73.0608,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1950-01-01,2016-04-01,795
410005,DMC,dmc_merge,El Tepual Puerto Montt Ap.,85,-41.435,-73.0978,104,Cuencas E Islas Entre R.Bueno Y R. Puelo,1040,Costeras Entre Rio Bueno Y Rio Maullin,1950-01-01,2016-04-01,796
450001,DMC,dmc_merge,Puerto Aysen Ad.,10,-45.3961,-72.6639,113,Rio Aisen,1134,Rio Aisen Entre Rio Riesco Y Desembocadura,1950-01-01,2016-02-01,661
450004,DMC,dmc_merge,Teniente Vidal Coyhaique Ad.,310,-45.5939,-72.1086,113,Rio Aisen,1131,Rio Simpson,1952-01-01,2016-04-01,759
450005,DMC,dmc_merge,Balmaceda Ad.,517,-45.9128,-71.6942,113,Rio Aisen,1131,Rio Simpson,1952-01-01,2016-04-01,756
460001,DMC,dmc_merge,Chile Chico Ad.,306,-46.5808,-71.6928,115,Rio Baker,1152,Vertiente Sur Lago Jose Miguel Carrera,1952-01-01,2016-02-01,636
470001,DMC,dmc_merge,Lord Cochrane Ad.,204,-47.2439,-72.5864,115,Rio Baker,1153,R. Baker Entre Desague L. J. M. Carrera Y R. De La Colonia,1970-01-01,2016-02-01,494
